Plot,State,Location,Density,Planting Date,Rep within Environment,Genotype,Kernel Width,Kernel Length,Cob Length,Cob Width,Cob Weight,Days to Anthesis,Days to Silk,Ear Height Maturity,Ear length,Ear Width,Ear Weight,Per Plant Grain Weight,Kernel Depth,Kernel Row Number,Leaf Number Above Ear,Leaf Number Below Ear,Plant Height Maturity,Plant Height 14 DAP,Plant Height 21 DAP,Plant Height 28 DAP,Plant Height 35 DAP,Plant Height 42 DAP,Plant Height 49 DAP,Plant Height 56 DAP,Plant Height 63 DAP,Plant Height 70 DAP
332061,Iowa,Kelly - 1,Low,6/2/15,Rep2,Mo17,8.267911667,10.74271833,173.9088611,19.93134472,14.11666667,65,69,78.66666667,174.4150972,.,93.66833333,79.55166667,5.032480833,10.33333333,5,.,177.3333333,19.66666667,36.16666667,53.16666667,68.5,88.16666667,143.3333333,.,.,.
333054,Iowa,Kelly - 2,High,6/2/15,Rep1,Mo17,7.949565,9.424881667,130.2173334,16.82333722,6.228333333,64,69,97.5,132.7890834,23.83207917,46.645,40.41666667,5.451704306,9.333333333,5,.,210,21.66666667,39.83333333,57.66666667,72.66666667,96,153.1666667,.,.,.
334069,Iowa,Kelly - 2,High,6/2/15,Rep2,Mo17,7.843096667,9.219565,133.7168889,16.83949445,6.47,64,67,95,133.5235667,24.25982222,49.72166667,43.25166667,4.843603611,9.333333333,4.5,.,196.3333333,19.5,36.83333333,55.5,72,90.16666667,140.3333333,.,.,.
335075,Iowa,Kelly - 2,Low,6/10/16,Rep1,Mo17,8.403166667,10.309225,160.6832222,18.99793,12.05833333,64,.,81,162.1239667,.,59.32666667,47.26833333,5.529537667,10.8,5.166666667,.,180.8333333,.,29.66666667,40.83333333,60.83333333,104.8333333,.,.,.,.
336070,Iowa,Kelly - 2,Low,6/10/16,Rep2,Mo17,8.462645,10.83712167,166.6028333,20.16181444,14.45666667,61,65,83.16666667,165.1423333,.,87.71333333,73.25666667,5.483648333,11,4.833333333,.,175.6666667,.,35.83333333,52.5,73.5,126.6666667,.,.,.,.
101053,Minnesota,St Paul - 1,High,5/5/15,Rep1,B004,6.40842,11.50831667,125.1867222,26.03852778,16.1,83,85,99.5,120.6542333,35.15016041,124.9333333,108.8333333,4.259050833,18.66666667,6.4,14.16666667,195.4,.,.,14.83333333,26.33333333,50,78.33333333,105.5,137.3333333,175.3333333
102051,Minnesota,St Paul - 1,High,5/5/15,Rep2,B004,6.725708333,11.82497,126.746,26.20398056,17.43333333,83,84,90,125.4618889,29.78785,156.0333333,138.6,4.358551806,18.66666667,6.4,14.16666667,184,.,.,14.5,26.83333333,48.16666667,73.66666667,101.3333333,131,166.1666667
103062,Minnesota,St Paul - 1,Low,5/5/15,Rep1,B004,6.580716667,12.05843833,136.0593333,26.80927667,17.84,84,85,86.66666667,131.5212,35.47364,148.94,131.1,4.0991155,18,6.5,14.33333333,172.1666667,.,.,14.5,25.83333333,45.16666667,69.33333333,94.83333333,121.5,156.3333333
104062,Minnesota,St Paul - 1,Low,5/5/15,Rep2,B004,.,.,.,.,.,95,94,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
105051,Minnesota,St Paul - 2,High,5/20/15,Rep1,B004,6.125633333,11.454765,123.7579722,24.73430833,14.53333333,68,68,92,121.1597639,33.06039306,122.7666667,108.2333333,4.370264028,19,6,13.2,182.5,.,17.5,30.16666667,59.5,84.5,115,159.8333333,180.6666667,.
